Año,Trimestre,Provincia,Accesos TV por suscripción por cada 100 hab,Accesos TV por suscripción por cada 100 hogares
2020,2,Capital Federal,24.0030955876495,57.8523006026787
2020,2,Catamarca,9.68692263036058,38.0814393939394
2020,2,Chaco,9.77120129085113,36.5587219477924
2020,2,Chubut,10.3719389975394,33.8364673657767
2020,2,Córdoba,29.2276261992072,95.4624639243367
2020,2,Corrientes,9.95688350510585,37.812544503896
2020,2,Entre Ríos,15.7817551120909,52.7830639785933
2020,2,Formosa,9.80358114286376,38.5182586550768
2020,2,Jujuy,12.6932994710314,49.6369673829156
2020,2,La Pampa,22.5803929889608,68.5337084364302
2020,2,La Rioja,4.90890405034826,18.4404414926657
2020,2,Mendoza,5.16201508366011,18.4976826991689
2020,2,Misiones,11.2824598673315,41.4221284728697
2020,2,Neuquén,11.9747823150583,40.2285054467555
2020,2,Río Negro,14.942810391878,48.5808192938923
2020,2,Salta,14.2390293714373,58.7914909916053
2020,2,San Juan,4.24446716428236,16.6624753550879
2020,2,San Luis,9.0399585664463,31.5869509870707
2020,2,Santa Cruz,11.9796461922925,40.2587596114002
2020,2,Santa Fe,19.0332705835616,60.5295434073879
2020,2,Santiago Del Estero,9.21779393726105,37.1416793767262
2020,2,Tierra Del Fuego,24.2202937403945,81.6915132027672
2020,2,Tucumán,5.73902812012142,23.1679924459197
2020,1,Buenos Aires,16.9020247032997,51.2650533437419
2020,1,Capital Federal,24.119481921911,58.0633769731897
2020,1,Catamarca,9.49658766925861,37.3335611043096
2020,1,Chaco,9.54249912124781,35.7034003683655
2020,1,Chubut,10.9527398907033,35.7318126652852
2020,1,Córdoba,28.3591942245788,92.6266783100379
2020,1,Corrientes,9.8518993764043,37.4139835188174
2020,1,Entre Ríos,15.9601977519503,53.3802118003026
2020,1,Formosa,9.8152891781462,38.5642955257111
2020,1,Jujuy,12.7137346090901,49.7174278295402
2020,1,La Pampa,22.3534381941996,67.8450120580143
2020,1,La Rioja,4.8116973273169,18.0755697452565
2020,1,Mendoza,5.19935691156223,18.6316238266261
2020,1,Misiones,11.4074722476425,41.8815005258852
2020,1,Neuquén,11.8479140357378,39.8027619425053
2020,1,Río Negro,14.7540322959807,47.9676643097658
2020,1,Salta,13.1869162238739,54.4480992024218
2020,1,San Juan,3.89280057345681,15.2820854199132
2020,1,San Luis,9.41469996187421,32.8966350301984
2020,1,Santa Cruz,11.9446565990499,40.1432595722599
2020,1,Santa Fe,19.0213465422435,60.4918558963383
2020,1,Santiago Del Estero,9.1228725160978,36.7594062024731
2020,1,Tierra Del Fuego,24.1215933401544,81.3620141966352
2020,1,Tucumán,6.54072505684316,26.4046435208105
2019,4,Buenos Aires,16.1925426483997,49.2263878210486
2019,4,Capital Federal,29.1664389159587,70.1291823095416
2019,4,Catamarca,9.92693489463625,39.0254805543138
2019,4,Chaco,9.54529323597072,35.7138840289928
2019,4,Chubut,11.4018459851943,37.1972474867084
2019,4,Córdoba,29.7892175811183,97.297545248424
2019,4,Corrientes,9.84320885577618,37.381016438888
2019,4,Entre Ríos,15.9888085956485,53.4759423159039
2019,4,Formosa,9.82123437440332,38.5876904008611
2019,4,Jujuy,12.4162322428021,48.5541430540665
2019,4,La Pampa,22.7229270344151,68.9661921253946
2019,4,La Rioja,4.85980590479605,18.2562356313547
2019,4,Mendoza,5.17446867873259,18.5424670039177
2019,4,Misiones,11.5255987430247,42.3152306705222
2019,4,Neuquén,11.6530059204996,39.1480316646362
2019,4,Río Negro,14.9040683845458,48.4555595474899
2019,4,Salta,13.3752614911111,55.2258505348054
2019,4,San Juan,3.80240380961704,14.9271844660194
2019,4,San Luis,9.59541214774184,33.5281328329479
2019,4,Santa Cruz,13.3051068481596,44.7156897484195
2019,4,Santa Fe,18.6948407750058,59.4535315750059
2019,4,Santiago Del Estero,9.24289211981363,37.2430566777296
2019,4,Tierra Del Fuego,24.3207197299843,82.0334234358661
2019,4,Tucumán,6.73903872320956,27.2052579817218
2019,3,Buenos Aires,15.7350825731017,47.9456944092478
2019,3,Capital Federal,28.0700064309686,67.4122631842635
2019,3,Catamarca,9.8999578106133,38.9190734915642
2019,3,Chaco,9.33715273010973,34.9349327403417
2019,3,Chubut,11.5175938667191,37.5741510704475
2019,3,Córdoba,29.6118873007508,96.7177760414294
2019,3,Corrientes,9.79933979043334,37.2143266710354
2019,3,Entre Ríos,15.7287595836802,52.6059689370156
2019,3,Formosa,9.82703774689879,38.6102758530527
2019,3,Jujuy,11.9694127227049,46.8064628427498
2019,3,La Pampa,23.206142901695,70.4329362406092
2019,3,La Rioja,5.16077319110892,19.3867801615565
