Id_Provincia,Provincia,Fecha,Accesos TV por suscripción (Vrf)
15,Neuquén,2018-12-31,80025
16,Río Negro,2018-12-31,91252
17,Salta,2018-12-31,176841
18,San Juan,2018-12-31,43605
19,San Luis,2018-12-31,55183
20,Santa Cruz,2018-12-31,56941
21,Santa Fe,2018-12-31,599124
22,Santiago Del Estero,2018-12-31,105239
23,Tierra Del Fuego,2018-12-31,46184
24,Tucumán,2018-12-31,125380
1,Buenos Aires,2018-09-30,2698193
2,Capital Federal,2018-09-30,755552
3,Catamarca,2018-09-30,83185
4,Chaco,2018-09-30,99165
5,Chubut,2018-09-30,89855
6,Córdoba,2018-09-30,1077148
7,Corrientes,2018-09-30,101211
8,Entre Ríos,2018-09-30,206993
9,Formosa,2018-09-30,59888
10,Jujuy,2018-09-30,91767
11,La Pampa,2018-09-30,83258
12,La Rioja,2018-09-30,24018
13,Mendoza,2018-09-30,117513
14,Misiones,2018-09-30,135350
15,Neuquén,2018-09-30,80391
16,Río Negro,2018-09-30,95213
17,Salta,2018-09-30,176000
18,San Juan,2018-09-30,45075
19,San Luis,2018-09-30,55302
20,Santa Cruz,2018-09-30,56779
21,Santa Fe,2018-09-30,630700
22,Santiago Del Estero,2018-09-30,108875
23,Tierra Del Fuego,2018-09-30,46296
24,Tucumán,2018-09-30,125823
1,Buenos Aires,2018-06-30,2662857
2,Capital Federal,2018-06-30,742742
3,Catamarca,2018-06-30,78493
4,Chaco,2018-06-30,108493
5,Chubut,2018-06-30,74729
6,Córdoba,2018-06-30,1114481
7,Corrientes,2018-06-30,100369
8,Entre Ríos,2018-06-30,211237
9,Formosa,2018-06-30,52060
10,Jujuy,2018-06-30,89913
11,La Pampa,2018-06-30,82552
12,La Rioja,2018-06-30,22865
13,Mendoza,2018-06-30,89146
14,Misiones,2018-06-30,134960
15,Neuquén,2018-06-30,78776
16,Río Negro,2018-06-30,87667
17,Salta,2018-06-30,169029
18,San Juan,2018-06-30,47920
19,San Luis,2018-06-30,57243
20,Santa Cruz,2018-06-30,53338
21,Santa Fe,2018-06-30,615398
22,Santiago Del Estero,2018-06-30,96384
23,Tierra Del Fuego,2018-06-30,41093
24,Tucumán,2018-06-30,119017
1,Buenos Aires,2018-03-31,2654174
2,Capital Federal,2018-03-31,741516
3,Catamarca,2018-03-31,89005
4,Chaco,2018-03-31,109742
5,Chubut,2018-03-31,72825
6,Córdoba,2018-03-31,1104478
7,Corrientes,2018-03-31,105865
8,Entre Ríos,2018-03-31,210310
9,Formosa,2018-03-31,52510
10,Jujuy,2018-03-31,88658
11,La Pampa,2018-03-31,83823
12,La Rioja,2018-03-31,23758
13,Mendoza,2018-03-31,88337
14,Misiones,2018-03-31,134351
15,Neuquén,2018-03-31,77047
16,Río Negro,2018-03-31,90018
17,Salta,2018-03-31,175454
18,San Juan,2018-03-31,37444
19,San Luis,2018-03-31,61967
20,Santa Cruz,2018-03-31,53152
21,Santa Fe,2018-03-31,623481
22,Santiago Del Estero,2018-03-31,96378
23,Tierra Del Fuego,2018-03-31,40301
24,Tucumán,2018-03-31,117582
1,Buenos Aires,2017-12-31,2656799
2,Capital Federal,2017-12-31,740372
