Id_Provincia,Provincia,Id_Partido,Partido,Id_Localidad,Localidad,ADSL,Cablemódem,Dial Up,Fibra óptica,Satelital,Wireless,Telefonía Fija,3G,4G,Link,Latitud,Longitud
18,SALTA,222,San Carlos,928,San Carlos,None,None,None,SI,SI,SI,SI,None,SI,66154040.0,-25.8954496537353,-65.9374115460195
18,SALTA,293,Santa Victoria,2316,Acoyte,None,None,None,None,None,SI,None,None,None,66161010.0,-22.2625708057672,-64.9993425915289
18,SALTA,293,Santa Victoria,2317,Campo La Cruz,None,None,None,None,None,None,None,None,None,66161020.0,-22.4282266803066,-65.1454049664521
18,SALTA,293,Santa Victoria,2318,Los Toldos,None,None,None,SI,None,SI,None,None,None,66161030.0,-22.2528953049178,-64.6816676603736
18,SALTA,293,Santa Victoria,2319,Nazareno,None,None,None,SI,None,None,None,None,None,66161040.0,-22.4818544506086,-65.0949733414157
18,SALTA,293,Santa Victoria,2320,Poscaya,None,None,None,None,None,None,None,None,None,66161050.0,-22.4336266127546,-65.0678957138662
18,SALTA,293,Santa Victoria,775,San Marcos,None,None,None,None,None,None,None,None,None,66161060.0,-22.50900544813,-65.1012423839061
18,SALTA,293,Santa Victoria,2321,Santa Victoria,None,None,None,SI,SI,SI,None,None,None,66161070.0,-22.2294615004585,-64.9503255468472
23,SAN JUAN,1,25 de Mayo,2322,Campo Afuera,None,None,None,None,None,None,None,None,None,70126010.0,-31.4165329806484,-68.5316143378439
23,SAN JUAN,1,25 de Mayo,2323,El Encón,None,None,None,None,None,None,None,SI,SI,70126010.0,-32.2163733476113,-67.793057098676
23,SAN JUAN,1,25 de Mayo,2324,La Chimbera,None,None,None,None,None,None,None,None,None,70126010.0,-31.8505514541041,-68.309461754649
23,SAN JUAN,1,25 de Mayo,2325,Tupelí,None,None,None,None,None,SI,None,None,None,70126020.0,-31.8390315742989,-68.3573941216943
23,SAN JUAN,1,25 de Mayo,2326,Villa Borjas,None,None,None,None,None,SI,None,None,None,70126010.0,-31.8100072529359,-68.3289623063813
23,SAN JUAN,1,25 de Mayo,2327,Villa Borjas - La Chimbera,None,None,None,None,None,SI,SI,None,None,70126030.0,-31.8100072529359,-68.3289623063813
23,SAN JUAN,1,25 de Mayo,2328,Villa El Tango,None,None,None,None,None,None,None,None,None,70126040.0,-31.763268918716,-68.2222966354108
23,SAN JUAN,1,25 de Mayo,2329,Villa Santa Rosa,None,None,None,None,None,SI,SI,SI,SI,70126050.0,-31.7448085385712,-68.3142412332522
23,SAN JUAN,2,9 de Julio,12,9 de Julio,None,None,None,SI,SI,SI,SI,SI,SI,70063040.0,-31.669750919971,-68.3900416378963
23,SAN JUAN,2,9 de Julio,2330,Alto de Sierra,None,None,None,None,None,SI,None,SI,SI,70063010.0,-31.5551785871028,-68.4205987445022
23,SAN JUAN,2,9 de Julio,2331,Colonia Fiorito,None,None,None,None,None,SI,None,None,None,70063020.0,-31.5551785871028,-68.4205987445022
23,SAN JUAN,2,9 de Julio,1999,Las Chacritas,None,None,None,None,None,SI,None,SI,SI,70063030.0,-31.5936417922213,-68.4077196718125
23,SAN JUAN,294,Santa Lucía,2332,Alto De Sierra,None,None,None,None,None,SI,None,SI,SI,70098010.0,-31.5265278957606,-68.4106014181706
23,SAN JUAN,294,Santa Lucía,2333,Colonia Gutierrez,None,None,None,None,None,None,None,SI,SI,70098010.0,-31.5173968715659,-68.4546487927052
23,SAN JUAN,294,Santa Lucía,624,Santa Lucía,SI,None,SI,SI,None,SI,SI,SI,SI,70098010.0,-31.5130353688268,-68.4565988777122
23,SAN JUAN,44,Sarmiento,2334,Cañada Honda,None,None,None,SI,SI,SI,SI,SI,SI,70105010.0,-31.9850527438787,-68.5481911385325
23,SAN JUAN,44,Sarmiento,2335,Cienaguita,None,None,None,SI,None,SI,None,SI,None,70105020.0,-32.0763381339971,-68.690762577729
23,SAN JUAN,44,Sarmiento,2336,Colonia Fiscal,None,None,None,None,None,None,None,None,None,70105030.0,-31.9027437264496,-68.4696588673219
23,SAN JUAN,44,Sarmiento,2337,Divisadero,None,None,None,None,None,SI,SI,SI,SI,70105040.0,-32.0104984358581,-68.6904861018003
23,SAN JUAN,44,Sarmiento,2338,Guanacache,None,None,None,None,None,SI,None,None,None,70105050.0,-32.0753813271385,-68.5856950572685
23,SAN JUAN,44,Sarmiento,159,Las Lagunas,None,None,None,None,SI,None,None,SI,SI,70105060.0,-32.0443775419211,-68.3778990229646
23,SAN JUAN,44,Sarmiento,2339,Los Berros,None,None,None,SI,None,SI,SI,SI,SI,70105070.0,-31.9514576383242,-68.6510941298035
23,SAN JUAN,44,Sarmiento,1580,Pedernal,None,None,None,None,None,SI,None,None,SI,70105080.0,-31.9950077029707,-68.7590874861116
23,SAN JUAN,44,Sarmiento,2340,Punta del Médano,None,None,None,None,None,SI,SI,None,SI,70105090.0,-31.8946043291143,-68.4183104905607
23,SAN JUAN,44,Sarmiento,2341,Villa Media Agua,None,None,None,SI,None,SI,SI,SI,SI,70105100.0,-31.9810022624945,-68.4270029177237
23,SAN JUAN,295,Ullum,2342,Villa Ibáñez,None,None,SI,None,None,SI,SI,SI,SI,70112010.0,-31.4659385111811,-68.7353338028121
23,SAN JUAN,296,Valle Fértil,2343,Astica,None,None,None,None,None,SI,SI,SI,SI,70119010.0,-30.9538850864023,-67.3006351406982
23,SAN JUAN,296,Valle Fértil,2344,Balde del Rosario,None,None,None,None,None,None,SI,None,None,70119020.0,-30.3207151787316,-67.6951969177397
1,BUENOS AIRES,263,Coronel Dorrego,2345,Oriente,None,None,None,SI,None,SI,SI,None,None,6189070.0,-38.7388491145692,-60.6092238150829
1,BUENOS AIRES,263,Coronel Dorrego,2346,Paraje La Ruta,None,None,None,None,None,None,None,None,SI,6189075.0,-38.6534164106777,-60.8608557685895
1,BUENOS AIRES,263,Coronel Dorrego,2347,San Román,None,None,None,None,None,None,None,SI,SI,6189080.0,-38.7415550885108,-61.5377200112301
1,BUENOS AIRES,297,Coronel Pringles,2348,Coronel Pringles (Est. Pringles),SI,SI,SI,SI,None,SI,SI,SI,SI,6196010.0,-37.9865210556901,-61.3540715661069
1,BUENOS AIRES,297,Coronel Pringles,2349,El Divisorio,None,None,None,None,None,None,None,None,None,6196020.0,-38.3235636030787,-61.4450578127822
1,BUENOS AIRES,297,Coronel Pringles,2350,El Pensamiento,None,None,None,None,None,None,None,None,None,6196030.0,-38.2154094275446,-61.3145847771452
1,BUENOS AIRES,297,Coronel Pringles,2351,Indio Rico,None,None,SI,SI,None,SI,SI,SI,SI,6196040.0,-38.3293770967784,-60.8866340266383
1,BUENOS AIRES,297,Coronel Pringles,2352,Lartigau,None,None,None,None,None,None,None,None,None,6196050.0,-38.44591903663,-61.566096860456
1,BUENOS AIRES,298,Coronel Suárez,2353,Cascadas,None,None,None,None,None,None,None,None,None,6203010.0,-37.2899615825436,-62.2971682457111
1,BUENOS AIRES,298,Coronel Suárez,2354,Coronel Suárez,SI,SI,SI,SI,None,SI,SI,SI,SI,6203020.0,-37.4596224938744,-61.9317530113989
1,BUENOS AIRES,298,Coronel Suárez,2355,Cura Malal,None,None,None,None,None,None,None,None,SI,6203030.0,-37.4843018699441,-62.10361959864
1,BUENOS AIRES,298,Coronel Suárez,2356,D'Orbigny,None,None,None,None,None,None,None,None,None,6203040.0,-37.6772293087783,-61.7052608546557
1,BUENOS AIRES,298,Coronel Suárez,2357,Huanguelén,None,None,SI,SI,None,SI,SI,SI,SI,6203050.0,-37.0622288209544,-61.9297529087938
1,BUENOS AIRES,298,Coronel Suárez,2358,Pasman,None,None,None,None,None,SI,None,None,None,6203060.0,-37.2234351404125,-62.1602259170472
1,BUENOS AIRES,298,Coronel Suárez,1313,San José,None,SI,None,SI,None,None,SI,None,None,6203070.0,-37.5077480260109,-61.9211473085303
1,BUENOS AIRES,298,Coronel Suárez,1530,Santa María,None,SI,None,SI,None,None,SI,None,None,6203080.0,-37.5565856774998,-61.872634363442
7,SANTA FE,278,Las Colonias,2359,Humboldt,SI,None,None,SI,None,SI,SI,SI,SI,82070100.0,-31.4009210645041,-61.0825515659905
