Id_Provincia,Provincia,Fecha,Accesos por cada 100 hab
17,Salta,2020-09-30,12.6702393071254
18,San Juan,2020-09-30,9.88083251128296
19,San Luis,2020-09-30,22.8839263803681
20,Santa Cruz,2020-09-30,10.6972070325265
21,Santa Fe,2020-09-30,22.6777105226816
22,Santiago Del Estero,2020-09-30,10.7648413009404
23,Tierra Del Fuego,2020-09-30,22.7715153638102
24,Tucumán,2020-09-30,13.1849907035556
1,Buenos Aires,2020-06-30,21.5528584048363
2,Capital Federal,2020-06-30,44.151826868205
3,Catamarca,2020-06-30,11.5566668352857
4,Chaco,2020-06-30,10.6461982789206
5,Chubut,2020-06-30,17.5779234120481
6,Córdoba,2020-06-30,22.2626297682841
7,Corrientes,2020-06-30,10.6131399504817
8,Entre Ríos,2020-06-30,16.9046496397221
9,Formosa,2020-06-30,7.92553974261672
10,Jujuy,2020-06-30,12.246000275261
11,La Pampa,2020-06-30,25.0738459648555
12,La Rioja,2020-06-30,13.2675488804432
13,Mendoza,2020-06-30,10.1166524693736
14,Misiones,2020-06-30,11.1369196743518
15,Neuquén,2020-06-30,19.0205986637401
16,Río Negro,2020-06-30,17.3384537515365
17,Salta,2020-06-30,12.4928228219153
18,San Juan,2020-06-30,8.93978645060613
19,San Luis,2020-06-30,22.4402866477222
20,Santa Cruz,2020-06-30,10.6506751720812
21,Santa Fe,2020-06-30,22.0118993487247
22,Santiago Del Estero,2020-06-30,10.7876486349067
23,Tierra Del Fuego,2020-06-30,22.6423924473359
24,Tucumán,2020-06-30,12.8267966617582
1,Buenos Aires,2020-03-31,21.2080810142128
2,Capital Federal,2020-03-31,44.0240824345247
3,Catamarca,2020-03-31,9.56828644748246
4,Chaco,2020-03-31,10.0183580078063
5,Chubut,2020-03-31,15.7151397399492
6,Córdoba,2020-03-31,21.6423266904036
7,Corrientes,2020-03-31,10.1981922972643
8,Entre Ríos,2020-03-31,16.7793875942568
9,Formosa,2020-03-31,7.69363320950793
10,Jujuy,2020-03-31,11.9345057136942
11,La Pampa,2020-03-31,24.9634889459636
12,La Rioja,2020-03-31,12.3374236886702
13,Mendoza,2020-03-31,9.24865632529103
14,Misiones,2020-03-31,10.6276210559822
15,Neuquén,2020-03-31,18.4098728835989
16,Río Negro,2020-03-31,16.9526360543075
17,Salta,2020-03-31,12.0116972009766
18,San Juan,2020-03-31,8.25127788119013
19,San Luis,2020-03-31,21.8387693863723
20,Santa Cruz,2020-03-31,10.7041725372986
21,Santa Fe,2020-03-31,21.8613245878736
22,Santiago Del Estero,2020-03-31,10.5392121668386
23,Tierra Del Fuego,2020-03-31,22.5525532508604
24,Tucumán,2020-03-31,11.8524649017937
1,Buenos Aires,2019-12-31,21.1350893819089
2,Capital Federal,2019-12-31,44.1870536086124
3,Catamarca,2019-12-31,9.26886507149251
4,Chaco,2019-12-31,9.84506318966921
5,Chubut,2019-12-31,15.6771711859264
6,Córdoba,2019-12-31,21.5794971664284
7,Corrientes,2019-12-31,10.208283637368
8,Entre Ríos,2019-12-31,17.339132629893
9,Formosa,2019-12-31,7.75547611892472
10,Jujuy,2019-12-31,11.6039151022838
11,La Pampa,2019-12-31,25.3449218476204
12,La Rioja,2019-12-31,12.5475635674596
13,Mendoza,2019-12-31,9.39011273391884
14,Misiones,2019-12-31,10.8375819024918
15,Neuquén,2019-12-31,17.6681849769219
16,Río Negro,2019-12-31,17.1338703221798
17,Salta,2019-12-31,12.1954928055468
18,San Juan,2019-12-31,8.36915261267133
19,San Luis,2019-12-31,21.4413528932678
20,Santa Cruz,2019-12-31,10.9234277977238
21,Santa Fe,2019-12-31,21.8483506557326
22,Santiago Del Estero,2019-12-31,10.6519742883379
23,Tierra Del Fuego,2019-12-31,23.6275467526162
24,Tucumán,2019-12-31,11.8031812807121
1,Buenos Aires,2019-09-30,22.7617336155622
2,Capital Federal,2019-09-30,46.9047708934881
3,Catamarca,2019-09-30,7.85595476521849
4,Chaco,2019-09-30,9.58066438752926
5,Chubut,2019-09-30,14.580466548719
6,Córdoba,2019-09-30,21.0007817769535
7,Corrientes,2019-09-30,10.1340281141787
8,Entre Ríos,2019-09-30,17.3116618255979
9,Formosa,2019-09-30,7.66417771389022
10,Jujuy,2019-09-30,11.334206981241
11,La Pampa,2019-09-30,25.5190027056414
12,La Rioja,2019-09-30,12.7624317908561
13,Mendoza,2019-09-30,11.3681890162792
14,Misiones,2019-09-30,10.713348334459
15,Neuquén,2019-09-30,19.0920756796417
16,Río Negro,2019-09-30,19.5084985912294
17,Salta,2019-09-30,10.7718546234161
18,San Juan,2019-09-30,9.44094148522601
19,San Luis,2019-09-30,24.3909711661747
20,Santa Cruz,2019-09-30,10.6015551925842
21,Santa Fe,2019-09-30,21.6564247463616
22,Santiago Del Estero,2019-09-30,13.7252880483641
23,Tierra Del Fuego,2019-09-30,28.5989251932121
24,Tucumán,2019-09-30,9.78157418438212
1,Buenos Aires,2019-06-30,22.2157894842981
2,Capital Federal,2019-06-30,46.0859257928109
3,Catamarca,2019-06-30,8.17339703245058
4,Chaco,2019-06-30,9.1250113292671
5,Chubut,2019-06-30,14.4038087278961
6,Córdoba,2019-06-30,20.8416372422382
7,Corrientes,2019-06-30,10.0474590194205
8,Entre Ríos,2019-06-30,17.1858204446725
9,Formosa,2019-06-30,7.74219578395609
10,Jujuy,2019-06-30,11.3829345908251
11,La Pampa,2019-06-30,25.3978398954861
12,La Rioja,2019-06-30,12.965645588675
13,Mendoza,2019-06-30,11.3733565416729
14,Misiones,2019-06-30,10.6628255950184
15,Neuquén,2019-06-30,18.7779008056203
16,Río Negro,2019-06-30,18.7922767563462
17,Salta,2019-06-30,10.146610869132
18,San Juan,2019-06-30,9.06854016252792
19,San Luis,2019-06-30,23.4082266301606
20,Santa Cruz,2019-06-30,8.58406482865588
21,Santa Fe,2019-06-30,21.2011304851442
22,Santiago Del Estero,2019-06-30,13.101581339389
23,Tierra Del Fuego,2019-06-30,28.1075638215957
24,Tucumán,2019-06-30,9.94246044080586
1,Buenos Aires,2019-03-31,21.6417378514192
2,Capital Federal,2019-03-31,45.5791838994366
3,Catamarca,2019-03-31,8.18850462737457
4,Chaco,2019-03-31,8.72283500340746
5,Chubut,2019-03-31,13.1803680616707
6,Córdoba,2019-03-31,20.0595276926967
7,Corrientes,2019-03-31,9.25199213887151
8,Entre Ríos,2019-03-31,16.9794023932903
9,Formosa,2019-03-31,7.55368578631946
10,Jujuy,2019-03-31,11.8678497610553
11,La Pampa,2019-03-31,25.1575166404727
12,La Rioja,2019-03-31,13.3594024786378
13,Mendoza,2019-03-31,10.5088620671738
14,Misiones,2019-03-31,9.87579609120626
15,Neuquén,2019-03-31,17.5264903960343
16,Río Negro,2019-03-31,16.478122478196
17,Salta,2019-03-31,9.71178101440345
18,San Juan,2019-03-31,8.10898201726592
19,San Luis,2019-03-31,19.2717794012915
20,Santa Cruz,2019-03-31,7.04269163445306
21,Santa Fe,2019-03-31,21.0598949173879
22,Santiago Del Estero,2019-03-31,9.3116162809496
23,Tierra Del Fuego,2019-03-31,27.6849257912618
24,Tucumán,2019-03-31,10.3126309673915
1,Buenos Aires,2018-12-31,21.0588338233985
2,Capital Federal,2018-12-31,45.2493139403669
3,Catamarca,2018-12-31,8.19733354162497
4,Chaco,2018-12-31,8.7108351925502
5,Chubut,2018-12-31,13.0617297060522
6,Córdoba,2018-12-31,19.9284311751423
7,Corrientes,2018-12-31,9.10221065708079
8,Entre Ríos,2018-12-31,16.2577940353847
9,Formosa,2018-12-31,7.56863913845701
10,Jujuy,2018-12-31,11.8994841924185
11,La Pampa,2018-12-31,24.215175627605
12,La Rioja,2018-12-31,13.4028590482468
13,Mendoza,2018-12-31,10.5369339699976
14,Misiones,2018-12-31,9.38376401334208
15,Neuquén,2018-12-31,17.5833620329143
16,Río Negro,2018-12-31,15.9520334449713
17,Salta,2018-12-31,9.63988499012216
18,San Juan,2018-12-31,8.12506754829948
19,San Luis,2018-12-31,19.3325493092293
20,Santa Cruz,2018-12-31,7.04908001650705
21,Santa Fe,2018-12-31,20.6237364064387
22,Santiago Del Estero,2018-12-31,9.2821177795649
23,Tierra Del Fuego,2018-12-31,27.7487853158179
24,Tucumán,2018-12-31,10.3441204364396
1,Buenos Aires,2018-09-30,20.9590874010485
2,Capital Federal,2018-09-30,45.3770920456075
3,Catamarca,2018-09-30,8.37304655008758
4,Chaco,2018-09-30,8.62858350951374
5,Chubut,2018-09-30,17.2863082293932
6,Córdoba,2018-09-30,19.6691574967699
7,Corrientes,2018-09-30,9.01894817024788
8,Entre Ríos,2018-09-30,15.0162082107412
9,Formosa,2018-09-30,7.52794981031211
10,Jujuy,2018-09-30,5.9491656472258
11,La Pampa,2018-09-30,23.6405627895773
12,La Rioja,2018-09-30,13.5054845201924
13,Mendoza,2018-09-30,10.6019692319668
14,Misiones,2018-09-30,8.74450949017475
15,Neuquén,2018-09-30,18.0054517097913
16,Río Negro,2018-09-30,15.5465724582987
17,Salta,2018-09-30,9.54934134172116
18,San Juan,2018-09-30,8.41935795556925
19,San Luis,2018-09-30,14.9833598756571
20,Santa Cruz,2018-09-30,9.7389874592526
21,Santa Fe,2018-09-30,19.9391069827321
22,Santiago Del Estero,2018-09-30,8.99651744351393
23,Tierra Del Fuego,2018-09-30,27.5060216962167
24,Tucumán,2018-09-30,10.325137534987
1,Buenos Aires,2018-06-30,20.3745823244351
2,Capital Federal,2018-06-30,44.632577746788
3,Catamarca,2018-06-30,8.35838388395506
4,Chaco,2018-06-30,8.35312361429173
5,Chubut,2018-06-30,16.8304851291441
6,Córdoba,2018-06-30,19.373198551696
7,Corrientes,2018-06-30,8.90324738534082
8,Entre Ríos,2018-06-30,14.7116484535059
9,Formosa,2018-06-30,7.4919076165093
10,Jujuy,2018-06-30,5.99239747680142
11,La Pampa,2018-06-30,23.407010658268
12,La Rioja,2018-06-30,13.5709228844089
13,Mendoza,2018-06-30,10.318226443151
14,Misiones,2018-06-30,8.61598877251767
15,Neuquén,2018-06-30,17.9318778103692
16,Río Negro,2018-06-30,15.4255830893773
17,Salta,2018-06-30,9.67310280884578
18,San Juan,2018-06-30,8.39284171164165
19,San Luis,2018-06-30,4.33613750896293
20,Santa Cruz,2018-06-30,9.91958805094006
21,Santa Fe,2018-06-30,19.6755915306821
22,Santiago Del Estero,2018-06-30,8.75016058933937
23,Tierra Del Fuego,2018-06-30,27.1623165159911
24,Tucumán,2018-06-30,10.2836712071486
1,Buenos Aires,2018-03-31,20.2796529105795
