Id_Provincia,Provincia,Fecha,Accesos por cada 100 hogares
24,Tucumán,2019-06-30,40.1360462142088
1,Buenos Aires,2019-03-31,66.2425552273681
2,Capital Federal,2019-03-31,109.196164558838
3,Catamarca,2019-03-31,32.1904889561213
4,Chaco,2019-03-31,32.6358765794295
5,Chubut,2019-03-31,42.997736337178
6,Córdoba,2019-03-31,65.5173840768055
7,Corrientes,2019-03-31,35.1349868869881
8,Entre Ríos,2019-03-31,56.7881599616928
9,Formosa,2019-03-31,29.6776946304319
10,Jujuy,2019-03-31,46.4084387403666
11,La Pampa,2019-03-31,76.3545743378065
12,La Rioja,2019-03-31,50.1845878832627
13,Mendoza,2019-03-31,37.6571649702829
14,Misiones,2019-03-31,36.2571682655235
15,Neuquén,2019-03-31,58.8780043343749
16,Río Negro,2019-03-31,53.5716497810025
17,Salta,2019-03-31,40.0983444177161
18,San Juan,2019-03-31,31.8330580534655
19,San Luis,2019-03-31,67.3379373977716
20,Santa Cruz,2019-03-31,23.6676549967689
21,Santa Fe,2019-03-31,66.9740909479148
22,Santiago Del Estero,2019-03-31,37.5194167460039
23,Tierra Del Fuego,2019-03-31,93.3758192272124
24,Tucumán,2019-03-31,41.6307444313476
1,Buenos Aires,2018-12-31,64.6028466348432
2,Capital Federal,2018-12-31,108.273149970574
3,Catamarca,2018-12-31,32.2253461660253
4,Chaco,2018-12-31,32.5909608763298
5,Chubut,2018-12-31,42.6109360960454
6,Córdoba,2018-12-31,65.0892645911237
7,Corrientes,2018-12-31,34.5662765686955
8,Entre Ríos,2018-12-31,54.3747734863994
9,Formosa,2018-12-31,29.73653915732
10,Jujuy,2018-12-31,46.5322663913268
11,La Pampa,2018-12-31,73.4940482831421
12,La Rioja,2018-12-31,50.3479939174172
13,Mendoza,2018-12-31,37.7577838459117
14,Misiones,2018-12-31,34.4507488777944
15,Neuquén,2018-12-31,59.0691692663678
16,Río Negro,2018-12-31,51.8614034542606
17,Salta,2018-12-31,39.8016100697381
18,San Juan,2018-12-31,31.8962520702558
19,San Luis,2018-12-31,67.5504536976004
20,Santa Cruz,2018-12-31,23.6891941006561
21,Santa Fe,2018-12-31,65.5870688619156
22,Santiago Del Estero,2018-12-31,37.4007259512934
23,Tierra Del Fuego,2018-12-31,93.5925708620794
24,Tucumán,2018-12-31,41.7579696387777
1,Buenos Aires,2018-09-30,64.4405675975205
2,Capital Federal,2018-09-30,108.445914110219
3,Catamarca,2018-09-30,32.9159453741104
4,Chaco,2018-09-30,32.2831008330776
5,Chubut,2018-09-30,56.391745852269
6,Córdoba,2018-09-30,64.2421002602934
